piste;nimi;x_gk25;y_gk25;suunta;aika;vuosi;ha;pa;ka;ra;la;mp;rv;autot
A01;LAUTTASAAREN SILTA;25494426;6672169;1;0;2011;76;5;1;0;5;0;0;87
A01;LAUTTASAAREN SILTA;25494426;6672169;1;100;2011;65;5;1;0;4;0;0;75
A01;LAUTTASAAREN SILTA;25494426;6672169;1;200;2011;61;4;1;0;4;0;0;70
A01;LAUTTASAAREN SILTA;25494426;6672169;1;300;2011;52;4;1;0;3;0;0;60
A01;LAUTTASAAREN SILTA;25494426;6672169;1;400;2011;31;2;0;0;2;0;0;35
A01;LAUTTASAAREN SILTA;25494426;6672169;1;500;2011;76;5;1;0;5;0;0;87
A01;LAUTTASAAREN SILTA;25494426;6672169;1;600;2011;42;4;1;0;7;0;0;54
A01;LAUTTASAAREN SILTA;25494426;6672169;1;615;2011;45;4;3;0;8;0;0;60
A01;LAUTTASAAREN SILTA;25494426;6672169;1;630;2011;60;6;2;0;9;1;0;77
A01;LAUTTASAAREN SILTA;25494426;6672169;1;645;2011;77;6;3;0;10;1;0;96
A01;LAUTTASAAREN SILTA;25494426;6672169;1;700;2011;40;12;0;0;9;0;0;61
A01;LAUTTASAAREN SILTA;25494426;6672169;1;715;2011;55;14;4;0;8;0;0;81
A01;LAUTTASAAREN SILTA;25494426;6672169;1;730;2011;84;46;6;0;12;6;0;148
A01;LAUTTASAAREN SILTA;25494426;6672169;1;745;2011;90;12;0;0;13;4;0;115
A01;LAUTTASAAREN SILTA;25494426;6672169;1;800;2011;105;15;0;0;12;0;0;132
A01;LAUTTASAAREN SILTA;25494426;6672169;1;815;2011;66;0;3;0;9;0;0;78
A01;LAUTTASAAREN SILTA;25494426;6672169;1;830;2011;97;6;12;0;9;0;0;124
A01;LAUTTASAAREN SILTA;25494426;6672169;1;845;2011;113;22;0;0;15;3;0;150
A01;LAUTTASAAREN SILTA;25494426;6672169;1;900;2011;326;47;12;0;37;6;0;422
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1000;2011;260;93;24;0;12;6;0;389
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1100;2011;316;58;13;0;12;15;0;399
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1200;2011;353;69;25;1;21;0;0;469
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1300;2011;388;64;20;0;23;4;0;495
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1400;2011;385;71;12;0;29;9;0;497
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1500;2011;96;10;3;0;6;2;0;115
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1515;2011;109;11;3;0;11;5;0;134
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1530;2011;120;14;0;0;10;2;0;144
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1545;2011;105;13;2;0;6;2;0;126
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1600;2011;119;15;1;0;10;12;0;145
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1615;2011;130;9;2;0;6;4;0;147
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1630;2011;113;13;0;0;9;0;0;135
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1645;2011;110;5;0;0;8;2;0;123
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1700;2011;120;8;0;0;7;4;0;135
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1715;2011;90;4;0;0;5;4;0;99
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1730;2011;73;5;1;0;6;2;0;85
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1745;2011;80;6;1;0;8;3;0;95
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1800;2011;334;28;1;1;26;7;0;390
A01;LAUTTASAAREN SILTA;25494426;6672169;1;1900;2011;422;24;5;0;28;3;0;479
A01;LAUTTASAAREN SILTA;25494426;6672169;1;2000;2011;329;23;5;0;21;3;0;378
A01;LAUTTASAAREN SILTA;25494426;6672169;1;2100;2011;266;20;4;0;16;0;0;306
A01;LAUTTASAAREN SILTA;25494426;6672169;1;2200;2011;170;12;3;0;10;0;0;195
A01;LAUTTASAAREN SILTA;25494426;6672169;1;2300;2011;130;9;2;0;8;0;0;149
A01;LAUTTASAAREN SILTA;25494426;6672169;2;0;2011;95;7;1;0;6;0;0;109
A01;LAUTTASAAREN SILTA;25494426;6672169;2;100;2011;55;4;1;0;3;0;0;63
A01;LAUTTASAAREN SILTA;25494426;6672169;2;200;2011;67;5;1;0;4;0;0;77
A01;LAUTTASAAREN SILTA;25494426;6672169;2;300;2011;59;5;1;0;4;0;0;69
A01;LAUTTASAAREN SILTA;25494426;6672169;2;400;2011;24;2;0;0;1;0;0;27
A01;LAUTTASAAREN SILTA;25494426;6672169;2;500;2011;56;4;1;0;3;0;0;64
A01;LAUTTASAAREN SILTA;25494426;6672169;2;600;2011;26;4;2;0;9;0;0;41
A01;LAUTTASAAREN SILTA;25494426;6672169;2;615;2011;28;3;2;0;9;0;0;42
A01;LAUTTASAAREN SILTA;25494426;6672169;2;630;2011;31;5;1;0;13;1;0;50
A01;LAUTTASAAREN SILTA;25494426;6672169;2;645;2011;41;7;3;0;18;1;0;69
A01;LAUTTASAAREN SILTA;25494426;6672169;2;700;2011;49;19;2;0;9;1;0;79
A01;LAUTTASAAREN SILTA;25494426;6672169;2;715;2011;86;15;3;0;8;3;0;112
A01;LAUTTASAAREN SILTA;25494426;6672169;2;730;2011;131;7;4;0;7;1;0;149
A01;LAUTTASAAREN SILTA;25494426;6672169;2;745;2011;128;23;5;0;9;2;0;165
A01;LAUTTASAAREN SILTA;25494426;6672169;2;800;2011;144;18;8;0;9;5;0;179
A01;LAUTTASAAREN SILTA;25494426;6672169;2;815;2011;145;16;2;0;11;0;0;174
A01;LAUTTASAAREN SILTA;25494426;6672169;2;830;2011;144;12;4;1;7;1;0;168
A01;LAUTTASAAREN SILTA;25494426;6672169;2;845;2011;139;10;3;1;5;1;0;158
A01;LAUTTASAAREN SILTA;25494426;6672169;2;900;2011;330;63;22;1;21;7;0;437
A01;LAUTTASAAREN SILTA;25494426;6672169;2;1000;2011;313;46;13;10;14;4;0;396
A01;LAUTTASAAREN SILTA;25494426;6672169;2;1100;2011;304;59;15;2;24;0;0;404
A01;LAUTTASAAREN SILTA;25494426;6672169;2;1200;2011;369;75;14;0;16;6;0;474
A01;LAUTTASAAREN SILTA;25494426;6672169;2;1300;2011;367;74;14;1;24;3;0;480
A01;LAUTTASAAREN SILTA;25494426;6672169;2;1400;2011;403;71;19;0;33;7;0;526
